tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
890240255349198849,Cassie,doggo,14.0,10,1.4,28902,6361
884162670584377345,Yogi,doggo,12.0,10,1.2,18522,2609
872967104147763200,,doggo,12.0,10,1.2,24881,4751
871515927908634625,Napolean,doggo,12.0,10,1.2,18462,3063
869596645499047938,Scout,doggo,12.0,10,1.2,14675,2758
858843525470990336,,doggo,13.0,10,1.3,14577,3163
846514051647705089,Barney,doggo,13.0,10,1.3,42660,10875
845397057150107648,Mimosa,doggo,13.0,10,1.3,7320,1683
841439858740625411,,doggo,14.0,10,1.4,12151,3477
836753516572119041,Meera,doggo,12.0,10,1.2,18759,4437
834574053763584002,,doggo,13.0,10,1.3,13241,2412
832998151111966721,Rhino,doggo,13.0,10,1.3,12874,2112
832273440279240704,Smiley,doggo,14.0,10,1.4,11034,2241
832032802820481025,Miguel,doggo,12.0,10,1.2,17355,4488
831939777352105988,Emanuel,doggo,12.0,10,1.2,23316,5902
831322785565769729,Pete,doggo,12.0,10,1.2,9035,1494
829449946868879360,,doggo,11.0,10,1.1,10192,1937
829374341691346946,Astrid,doggo,13.0,10,1.3,,
828381636999917570,Doobert,doggo,14.0,10,1.4,12274,2146
826958653328592898,Loki,doggo,12.0,10,1.2,21015,4811
826848821049180160,Cupid,doggo,13.0,10,1.3,35276,9784
826476773533745153,Pilot,doggo,12.0,10,1.2,17942,4048
826204788643753985,,doggo,13.0,10,1.3,4753,884
821765923262631936,Duchess,doggo,13.0,10,1.3,8201,1614
821407182352777218,Sundance,doggo,14.0,10,1.4,11479,4180
821107785811234820,,doggo,11.0,10,1.1,9388,2064
819924195358416896,,doggo,11.0,10,1.1,12652,4733
819006400881917954,Sunny,doggo,14.0,10,1.4,44464,18525
819004803107983360,Bo,doggo,14.0,10,1.4,85330,35980
815990720817401858,Jack,doggo,11.0,10,1.1,4844,985
813910438903693312,Chubbs,doggo,11.0,10,1.1,9138,1810
813202720496779264,,doggo,11.0,10,1.1,9070,1773
813127251579564032,,doggo,11.0,10,1.1,11585,3033
813096984823349248,Rocky,doggo,11.0,10,1.1,10375,3535
808106460588765185,Dexter,doggo,12.0,10,1.2,8667,2155
800018252395122689,,doggo,11.0,10,1.1,27867,12843
799757965289017345,Sobe,doggo,13.0,10,1.3,8256,2108
796484825502875648,,doggo,12.0,10,1.2,7447,1718
795464331001561088,,doggo,13.0,10,1.3,48652,23014
786363235746385920,Rizzo,doggo,13.0,10,1.3,10687,3382
785639753186217984,Pinot,doggo,10.0,10,1.0,7729,2186
782747134529531904,Deacon,doggo,11.0,10,1.1,7319,1375
782305867769217024,Sampson,doggo,12.0,10,1.2,16310,5389
775733305207554048,Anakin,doggo,11.0,10,1.1,13549,3868
775364825476165632,Finley,doggo,11.0,10,1.1,7207,2857
772877495989305348,,doggo,11.0,10,1.1,8342,3744
768193404517830656,Gerald,doggo,8.0,10,0.8,10582,3414
767191397493538821,,doggo,13.0,10,1.3,11958,3624
760893934457552897,Wishes,doggo,11.0,10,1.1,3706,931
759793422261743616,Maggie,doggo,12.0,10,1.2,5781,1841
758828659922702336,,doggo,13.0,10,1.3,10871,3705
757393109802180609,,doggo,10.0,10,1.0,5634,1665
756526248105566208,,doggo,13.0,10,1.3,10077,3450
755206590534418437,,doggo,14.0,10,1.4,15920,5136
753420520834629632,,doggo,11.0,10,1.1,7612,3408
752682090207055872,,doggo,10.0,10,1.0,5819,1530
752660715232722944,,doggo,10.0,10,1.0,4234,1499
752334515931054080,,doggo,8.0,10,0.8,3699,1058
751583847268179968,,doggo,5.0,10,0.5,4248,1053
750011400160841729,Piper,doggo,11.0,10,1.1,3121,867
749036806121881602,Dietrich,doggo,8.0,10,0.8,2994,762
748932637671223296,Divine,doggo,13.0,10,1.3,5594,2155
748692773788876800,,doggo,10.0,10,1.0,4096,1282
745433870967832576,Lenox,doggo,10.0,10,1.0,6798,2433
744234799360020481,,doggo,13.0,10,1.3,150118,74068
741067306818797568,,doggo,12.0,10,1.2,9173,2940
739238157791694849,,doggo,13.0,10,1.3,111081,55192
735256018284875776,Kellogg,doggo,8.0,10,0.8,3193,837
733109485275860992,,doggo,12.0,10,1.2,51153,16241
732375214819057664,Kyle,doggo,11.0,10,1.1,7745,2384
731156023742988288,,doggo,204.0,170,1.2,3670,1205
727644517743104000,,doggo,13.0,10,1.3,5610,1661
724771698126512129,,doggo,11.0,10,1.1,2233,600
719991154352222208,,doggo,10.0,10,1.0,4631,1652
716080869887381504,,doggo,11.0,10,1.1,6492,1809
883360690899218434,Grizzwald,floofer,13.0,10,1.3,20588,3210
854010172552949760,,floofer,11.0,10,1.1,15345,2919
800388270626521089,Doc,floofer,12.0,10,1.2,10990,2752
776218204058357768,,floofer,13.0,10,1.3,29119,15333
749317047558017024,Blu,floofer,12.0,10,1.2,5297,2146
737445876994609152,,floofer,13.0,10,1.3,9815,4233
733822306246479872,Moose,floofer,10.0,10,1.0,3518,975
685307451701334016,Petrick,floofer,11.0,10,1.1,1997,416
886366144734445568,Roscoe,pupper,12.0,10,1.2,19159,2757
882762694511734784,Gus,pupper,12.0,10,1.2,25634,4258
881666595344535552,Gary,pupper,13.0,10,1.3,46018,9314
881536004380872706,,pupper,14.0,10,1.4,44893,13963
877611172832227328,,pupper,14.0,10,1.4,0,71
876838120628539392,Ginger,pupper,12.0,10,1.2,18831,2921
874296783580663808,Jed,pupper,13.0,10,1.3,23780,3631
873213775632977920,Sierra,pupper,12.0,10,1.2,6543,1389
871762521631449091,Rover,pupper,12.0,10,1.2,18491,3076
866450705531457537,Jamesy,pupper,13.0,10,1.3,112527,31534
854120357044912130,,pupper,14.0,10,1.4,30187,6918
850019790995546112,Boomer,pupper,12.0,10,1.2,19441,4564
845306882940190720,Pickles,pupper,12.0,10,1.2,22388,5078
839290600511926273,,pupper,10.0,10,1.0,0,137
837820167694528512,,pupper,12.0,10,1.2,32948,7491
837110210464448512,Clark,pupper,13.0,10,1.3,15550,2259
836380477523124226,Ava,pupper,12.0,10,1.2,14333,2869
833124694597443584,Gidget,pupper,12.0,10,1.2,19647,4650
831315979191906304,,pupper,13.0,10,1.3,6359,1076
827933404142436356,Kona,pupper,12.0,10,1.2,19549,5060
824325613288833024,,pupper,13.0,10,1.3,11551,10259
822462944365645825,Gabe,pupper,14.0,10,1.4,27260,13785
817777686764523521,Dido,pupper,13.0,10,1.3,10533,2605
815966073409433600,,pupper,13.0,10,1.3,21921,8200
814986499976527872,Cooper,pupper,11.0,10,1.1,7508,1242
